latitude,longitude
42.2897499,-71.05251533
42.25707875,-71.12010538
42.37333727,-71.03903959
42.30541255,-71.06916303
42.31580852,-71.09829029
42.304234,-71.08246198
42.37711591,-71.03038393
42.32159956,-71.11212436
42.28513849,-71.11106716
42.35304875,-71.13014883
42.34972188,-71.09136331
42.35568108,-71.15550356
42.32062263,-71.09109428
42.29623109,-71.14576934
42.30050108,-71.10310128
42.35764141,-71.05919543
42.33728315,-71.06530718
42.3019141,-71.11446028
42.365649,-71.01814154
42.35087575,-71.06300546
42.30970591,-71.07531112
42.35608512,-71.06984207
42.31418036,-71.08029687
42.35735642,-71.05490727
42.30179118,-71.0642998
42.35984281,-71.13298201
42.32873409,-71.09805204
42.31793185,-71.08215052
42.32267054,-71.10539846
42.32968122,-71.07944928
42.30182627,-71.05971595
42.26246894,-71.10858711
42.31271752,-71.09384495
42.28933284,-71.05147212
42.24252933,-71.12077529
42.37195523,-71.13251732
42.28987211,-71.08376967
42.31144047,-71.10259917
42.32037661,-71.05286538
42.32191466,-71.06632514
42.34594474,-71.03981528
42.29009542,-71.0484215
42.32102719,-71.11657758
42.36010369,-71.11752421
42.35057619,-71.09544423
42.32627726,-71.07302567
42.26766181,-71.10593151
42.34670918,-71.10511726
42.31539291,-71.08329798
42.30651471,-71.05966037
42.31641662,-71.09323849
42.36330247,-71.13442021
42.35141503,-71.05010093
42.33295016,-71.09239923
42.29284506,-71.09630125
42.35242762,-71.16290433
42.34903155,-71.12988191
42.35703421,-71.12624131
42.29284506,-71.09630125
42.35943049,-71.06355479
42.31867212,-71.05186712
42.33121276,-71.05149095
42.28768807,-71.09386923
42.38073466,-71.02530878
42.27055787,-71.10550933
42.30760606,-71.07603834
42.34670918,-71.10511726
42.29664207,-71.04642313
42.35895143,-71.15737941
42.34486526,-71.08655032
42.30465801,-71.10688377
42.33211815,-71.0792772
42.27907879,-71.116794
42.2713336,-71.08152178
42.28277408,-71.13208494
42.36096452,-71.11765003
42.36096452,-71.11765003
42.26361728,-71.10256271
42.3572382,-71.07278319
42.27998305,-71.11896929
42.34457813,-71.09781364
42.34755826,-71.10555184
42.3050858,-71.11462005
42.32142749,-71.05238117
42.30751619,-71.08887716
42.2709385,-71.16188699
42.27223361,-71.06781405
42.31273393,-71.06830521
42.32461013,-71.05602316
42.32815996,-71.09698981
42.33360048,-71.07512386
42.34879221,-71.09510166
42.27895263,-71.05416601
42.30087666,-71.08587996
42.31637212,-71.08284421
42.26767901,-71.09387824
42.30195719,-71.06004664
42.30521265,-71.0683617
42.30539456,-71.06150772
42.31868671,-71.07409293
42.33537017,-71.06483817
42.28515102,-71.06672892
42.31532441,-71.08332568
42.2808545,-71.08458278
42.35055573,-71.13106155
42.35553901,-71.13275759
42.3265075,-71.10654828
42.33362614,-71.07336417
42.35287456,-71.07382971
42.35135655,-71.11856726
42.30491999,-71.07413463
42.32527562,-71.05914451
42.33396227,-71.03532485
42.26097403,-71.12092388
42.2996895,-71.06511019
42.27977399,-71.08156429
42.28535638,-71.07117962
42.35324345,-71.13443781
42.29235949,-71.14760417
42.31215023,-71.07279661
42.31442198,-71.09386253
42.26929551,-71.09122852
42.28629371,-71.06415264
42.33646617,-71.0770222
42.36272214,-71.05904863
42.38388631,-71.07456268
42.25583651,-71.12411357
42.25471508,-71.14354735
42.28774219,-71.10678133
42.3083363,-71.08330594
42.30961608,-71.10439409
42.25155083,-71.11974169
42.25828377,-71.12874915
42.28427328,-71.06472021
42.34819142,-71.06249293
42.32199337,-71.10213931
42.28381958,-71.11277097
42.29013728,-71.07079429
42.2907039,-71.07576982
42.34284918,-71.08502585
42.3716822,-71.06193787
42.35281526,-71.13203961
42.36951568,-71.12626114
42.36794659,-71.12185236
42.29696306,-71.07775831
42.3641916,-71.11803407
42.31149147,-71.05289404
42.33818696,-71.15337531
42.34929907,-71.07689323
42.30700928,-71.05411887
42.3082054,-71.08855159
42.30101591,-71.06737331
42.29681507,-71.13279233
42.38891908,-70.99851683
42.29299034,-71.09455097
42.32200511,-71.07585885
42.3506063,-71.07542158
42.34280711,-71.15372248
42.2919876,-71.07173972
42.34770518,-71.08691322
42.27815998,-71.07471663
42.32504876,-71.06915162
42.29812323,-71.08704846
42.30539456,-71.06150772
42.28894126,-71.09218982
42.29985353,-71.06819001
42.27907879,-71.116794
42.31569408,-71.09441943
42.35999781,-71.07199221
42.35536177,-71.07280677
42.31545038,-71.05979679
42.3011387,-71.08834648
42.2801762,-71.15006171
42.32211802,-71.10093642
42.27582508,-71.10843829
42.29681507,-71.13279233
42.372727,-71.03903201
42.35100211,-71.13134734
42.33016641,-71.05695779
42.28165705,-71.08693623
42.31917314,-71.08601372
42.28611419,-71.08870955
42.30543548,-71.11463832
42.30628703,-71.05757482
42.31298548,-71.05720399
42.32995097,-71.09117417
42.32277943,-71.10007056
42.34276028,-71.06163472
42.35147401,-71.0731613
42.23925684,-71.1321019
42.35815021,-71.15452037
42.33826807,-71.10613267
42.29273338,-71.06419517
42.32952691,-71.03520118
42.30090637,-71.05997128
42.31562133,-71.11700898
42.38266866,-71.0184267
42.24762558,-71.12816471
42.34785063,-71.07617745
42.3339684,-71.10510581
42.31596308,-71.06264745
42.33728315,-71.06530718
42.31507692,-71.09900475
42.32827784,-71.0922699
42.31464933,-71.0671883
42.31855388,-71.0636287
42.27021135,-71.09326493
42.34238659,-71.07334651
42.38342324,-71.07163919
42.23722567,-71.13190217
42.33103374,-71.06474227
42.33734916,-71.0780682
42.34395525,-71.06594178
42.35308579,-71.13210983
42.35422685,-71.13238877
42.30339472,-71.07854004
42.34919861,-71.10059508
42.35258719,-71.05541814
42.30019272,-71.12792172
42.3285742,-71.07927021
42.30191299,-71.08554366
42.34921321,-71.10085815
42.28317926,-71.07626483
42.33486232,-71.08380473
42.27340425,-71.09368557
42.2808545,-71.08458278
42.34917112,-71.08413075
42.28885414,-71.04459715
42.32428487,-71.07139941
42.2581904,-71.16092074
42.26662296,-71.11827039
42.30603779,-71.05877935
42.30763876,-71.08902773
42.27733793,-71.06023578
42.34272918,-71.10318925
42.35090705,-71.08107312
42.34453738,-71.07359409
42.28369406,-71.0548846
42.25717717,-71.12683277
42.30829846,-71.06483021
42.30450796,-71.07942492
42.32046509,-71.07776194
42.35758866,-71.13767319
42.31160008,-71.12817984
42.31413059,-71.09410778
42.34847092,-71.0764941
42.33388884,-71.07534214
42.3628782,-71.05637816
42.31084304,-71.08156206
42.26373697,-71.10179152
42.3639202,-71.06333917
42.260163,-71.15843138
42.30358517,-71.07753327
42.3556459,-71.13732545
42.34751319,-71.10175727
42.34404274,-71.06205809
42.32198145,-71.07243252
42.31589958,-71.0851874
42.3578648,-71.12642217
42.26283209,-71.15743983
42.32030624,-71.08500262
42.30604707,-71.07820885
42.36244321,-71.0572832
42.35102167,-71.11580748
42.32093443,-71.06191893
42.31135912,-71.0702062
42.33993364,-71.16612035
42.34381478,-71.14296264
42.32270775,-71.07292823
42.35698093,-71.13294254
42.36670154,-71.06790197
42.23592873,-71.12499148
42.36751965,-71.02565871
42.39305264,-71.01196585
42.29863416,-71.06063601
42.36301306,-71.05343291
42.35145463,-71.12791584
42.31605002,-71.07103945
42.28080143,-71.11889873
42.29939566,-71.07365336
42.32377412,-71.05527614
42.37423027,-71.0390511
42.30492405,-71.10297942
42.36641786,-71.05139468
42.35756271,-71.06087276
42.28329512,-71.06394625
42.30899454,-71.05810933
42.38393194,-71.02265623
42.2911626,-71.04562843
42.37351249,-71.03814002
42.30771858,-71.06317211
42.31484738,-71.09730694
42.32263777,-71.09855483
42.2789324,-71.08452748
42.26853028,-71.105204
42.27327263,-71.06409254
42.32137158,-71.06585678
42.35190898,-71.07067559
42.35180073,-71.05590176
42.34617818,-71.07485451
42.28401459,-71.08836898
42.32587115,-71.08287512
42.35703421,-71.12624131
42.27411328,-71.16943397
42.28066514,-71.07742956
42.29394206,-71.07190968
42.23525431,-71.12483034
42.36534481,-71.02111878
42.33242738,-71.05167475
42.29812323,-71.08704846
42.34019143,-71.0685977
42.33370986,-71.06671178
42.30066608,-71.04917713
42.35129912,-71.07962057
42.33382615,-71.08251021
42.32861314,-71.08274164
42.33254716,-71.0721242
42.29628154,-71.07587449
42.33126314,-71.07689121
42.38234383,-71.07914674
42.32377412,-71.05527614
42.29288077,-71.1544483
42.28983469,-71.04512848
42.34811805,-71.08813477
42.31618752,-71.05668934
42.36037736,-71.14649037
42.31621877,-71.04810046
42.34921597,-71.13002351
42.30341862,-71.06069053
42.28069381,-71.04858831
42.31678065,-71.08516601
42.30893082,-71.07815827
42.3301605,-71.04738362
42.36565817,-71.06737279
42.34341112,-71.09842847
42.37849483,-71.0255481
42.37658891,-71.05585836
42.33049612,-71.06125802
42.26870338,-71.09361645
42.30146708,-71.04955214
42.38188012,-71.05035511
42.37979421,-71.02506154
42.35046559,-71.06086565
42.28266166,-71.08531215
42.30689515,-71.0794354
42.28401205,-71.04390513
42.33952106,-71.0996863
42.28323134,-71.11361999
42.25717717,-71.12683277
42.34918561,-71.09287478
42.33254716,-71.0721242
42.31476952,-71.08354311
42.28091083,-71.09242652
42.25583651,-71.12411357
42.33382615,-71.08251021
42.34395525,-71.06594178
42.34138041,-71.10191579
42.34878253,-71.08218766
42.32159956,-71.11212436
42.34858619,-71.10688625
42.28826597,-71.05536154
42.32198235,-71.1058561
42.28768807,-71.09386923
42.32418837,-71.05242458
42.28243529,-71.11495335
42.29749911,-71.04933282
42.38363505,-71.07519703
42.35703421,-71.12624131
42.2808545,-71.08458278
42.34191075,-71.07277376
42.36244321,-71.0572832
42.2712895,-71.07433271
42.33910162,-71.09231205
42.34433539,-71.06705445
42.29604045,-71.11614716
42.30487281,-71.08118785
42.36646664,-71.06053184
42.33946316,-71.06413518
42.32504876,-71.06915162
42.33169814,-71.06798157
42.35107271,-71.16810526
42.28367581,-71.06591909
42.28225639,-71.08628059
42.26515207,-71.09913226
42.33739458,-71.03089974
42.31958239,-71.09840245
42.24515451,-71.13630878
42.37090622,-71.06270816
42.34610989,-71.08097023
42.36366522,-71.05838615
42.33079405,-71.07482127
42.28618705,-71.1297239
42.36611617,-71.05845143
42.29612368,-71.06135893
42.35077153,-71.11380249
42.2636164,-71.11816923
42.33694344,-71.0846579
42.32159956,-71.11212436
42.34771217,-71.08786722
42.25644545,-71.12396106
42.35031741,-71.06330278
42.27024149,-71.14715973
42.26872473,-71.16174532
42.31580852,-71.09829029
42.24972004,-71.12266901
42.26758904,-71.15009237
42.36116298,-71.06381202
42.31766105,-71.07538206
42.27096204,-71.08539145
42.30481531,-71.07375837
42.31682168,-71.05992196
42.38363505,-71.07519703
42.24251105,-71.12641214
42.35085807,-71.08948367
42.35035384,-71.06052433
42.34598283,-71.08709823
42.31258403,-71.08435701
42.32352936,-71.08137641
42.29490783,-71.08782042
42.34061318,-71.1473315
42.31219332,-71.04601734
42.29737631,-71.08633451
42.2802103,-71.08223921
42.35622841,-71.06933624
42.30046657,-71.11469418
42.31689952,-71.07805727
42.2713336,-71.08152178
42.38580425,-71.02239106
42.34594474,-71.03981528
42.2820115,-71.05891534
42.37417709,-71.03729496
42.37507925,-71.06849237
42.28243529,-71.11495335
42.29398181,-71.13060591
42.34884391,-71.09158113
42.3581862,-71.05189515
42.33105632,-71.08089202
42.33770293,-71.08264457
42.37495623,-71.0389581
42.30915808,-71.11553988
42.32609961,-71.06627437
42.30763876,-71.08902773
42.28439851,-71.04562733
42.26662296,-71.11827039
42.35876441,-71.05780552
42.3677122,-71.06221414
42.24400292,-71.12365193
42.30491999,-71.07413463
42.25823876,-71.147537
42.28983469,-71.04512848
42.3455484,-71.09436515
42.31240243,-71.06418191
42.32889214,-71.08513322
